sample_id,source_stage,original_image_name,original_split,final_image_name,final_split,has_target,target_color,target_type,background_type,negative_type,bbox_x,bbox_y,bbox_w,bbox_h,bbox_px_size,rotation_deg,perspective_level,blur_type,blur_level,motion_blur_length,motion_blur_angle,lighting_type,lighting_level,shadow_level,glare_level,exposure_level,color_shift_level,notes,image_hash,label_hash
stage4_000007,stage4,stage4v2_011106.jpg,train,stage4_000007.jpg,train,1,red,square,field_mixed,none,304,191,47,46,47,12.275,0.01936,none,none,0,0,sunny,light,none,none,mild_over,light,size_bucket=small;augmentation=sunny,d3ddf99563e512aa5551b2ab2352894969f1fac644defc5426a328bfccf57ea7,d3249b9ff9eaf3a2de7f8001fffd3f94f30e6c1c06160d84973c3a6e61acd962
stage4_000008,stage4,stage4v2_006278.jpg,train,stage4_000008.jpg,train,1,red,square,field_mixed,none,256,505,58,58,58,17.356,0.00439,none,none,0,0,normal,normal,none,none,normal,none,size_bucket=small;augmentation=clean,1477760592831385b9f1b829c98a73d5dd8210a1225115ecc9ebfc4eccfada6d,e27c83037cb63c2e96e022ef860f9058f5bc7f15dd07bd6303601a05e7f4e75d
stage2_000011,stage2,stage2v2_002328.jpg,train,stage2_000011.jpg,train,1,red,square,field_mixed,none,55,462,88,88,88,-16.111,0.00414,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,c6f4eedf5e1956fa016bb805a501e9b0da8299831541a5a93e3fe896eb09c0e4,cb34f5ef26ed1138d5792514bdb099c9f8f22a47f6a26ce84b19b07d2cfc49c8
stage2_000012,stage2,stage2v2_010632.jpg,train,stage2_000012.jpg,train,0,none,background,field_mixed,none,0,0,0,0,0,0.000,0.00000,none,none,0,0,none,mild,none,none,none,none,size_bucket=none;augmentation=mild_light,32db5ee9012a9980b89904eeba096ff88c8c66302fa73532d8ccf9838cb66f22,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage2_000013,stage2,stage2v2_013248.jpg,val,stage2_000013.jpg,test,0,none,background,field_mixed,none,0,0,0,0,0,0.000,0.00000,none,none,0,0,none,normal,none,none,none,none,size_bucket=none;augmentation=clean,9a87ad6a09ca88bf5a9be41c8f89a9f7345ece76910a049e76ef0dfeb688a6cc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage2_000014,stage2,stage2v2_007124.jpg,train,stage2_000014.jpg,test,1,red,square,field_mixed,none,472,129,32,32,32,-5.094,0.00824,none,none,0,0,none,mild,none,none,none,none,size_bucket=very_small;augmentation=mild_light,92fb56051be407ef3dc12a7ac302f788af6b20358a6cf91223db7ae317e9e160,42ece327bbf2c346471cea9decee5b840287df0c581f01389bc09dc2dfd3b57c
stage1_000003,stage1,stage1_002824.jpg,train,stage1_000003.jpg,train,1,red,square,plain_light_gray,none,287,491,64,64,64,-3.954,0.00725,none,none,0,0,none,normal,none,none,none,none,size_bucket=small,5ee521e9a65e5ba51a07d96d165d07f1877a13a49b125929c6d02d5984c590e4,f122bae23e1611fe41331354a86a44fe3d800aaca3b8500ce710014efb84edfd
stage2_000015,stage2,stage2v2_004773.jpg,train,stage2_000015.jpg,val,1,red,square,field_mixed,none,118,237,132,135,135,21.691,0.02142,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,7d3dbb336034113b45f60df9e48b6bd89252154adea4fbb981a70ed148389781,65d5731bda58da316e3cb3d3a1fc19df64276c3800b3bfff1e27075090140e89
stage1_000004,stage1,stage1_000931.jpg,train,stage1_000004.jpg,train,1,red,square,matte_texture,none,182,155,100,101,101,-7.252,0.00286,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium_large,9684a1d50ca7ac30a947eaea2ccdb4e13fb5a5fe38ef81a380b8f6ae3a06ceb8,4eefb939f662e1d13682445284e6fc5593ffc06f3fd5aba92eebef4b50fed989
stage2_000016,stage2,stage2v2_006064.jpg,train,stage2_000016.jpg,train,1,blue,square,field_mixed,none,175,129,271,271,271,12.514,0.02908,none,none,0,0,none,normal,none,none,none,none,size_bucket=large;augmentation=clean,a85ea596517e40aa98838b64aaec5b498f76854b7ef2fa6ac4ec5f72827e84cf,2374cc8cf0ed646d4a7b6ec4e0dad1e3224d3becaea84883aa421b53ef2c767a
stage3_000009,stage3,stage3v2_000477.jpg,train,stage3_000009.jpg,train,1,red,square,field_mixed,none,476,343,125,124,125,-13.443,0.00669,none,none,0,0.000,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,f3ffb9d968b21ffa63eef9511549deef0268448d76606fbf2e015606b845d0f0,b89e9b778e32e7256693abe04ce5758cacaddeac0b6f97dc443a9eb937a2c8d5
stage3_000010,stage3,stage3v2_000120.jpg,train,stage3_000010.jpg,train,1,red,square,field_mixed,none,220,164,149,150,150,-6.535,0.02019,none,none,0,0.000,none,normal,none,none,none,none,size_bucket=large;augmentation=clean,77e800e88b6c3bc6e4b512b710ec6e1ee510fe9896856ebff512580d32e0b1e5,6257cf451f7927961f5e3a60a1bdfacd5de11fbe3c67294a9f7985ac9133c26a
stage2_000017,stage2,stage2v2_009721.jpg,train,stage2_000017.jpg,train,1,blue,square,dry_grass,none,85,498,90,90,90,0.583,0.01028,none,none,0,0,none,mild,none,none,none,none,size_bucket=medium;augmentation=mild_light,deb9f66dc3afeedd1cbb27f8871543589dcbe8394a1813c72e5cb7cae4b70b19,7a217ece00f7efdc36de3c343e428fe50e38372b70d9c887eeea6017da22bebf
stage2_000018,stage2,stage2v2_014659.jpg,train,stage2_000018.jpg,train,1,blue,square,field_mixed,none,557,148,58,57,58,5.109,0.02154,none,none,0,0,none,mild_color,none,none,none,none,size_bucket=very_small;augmentation=mild_color,bdaabec3c9b07b2ec2a73a5d8cc8b525fa02fdd70bf225d202a2670d340b5db5,dd31a4484aa13e09d17b561c0ade5a2ff93c8f1ebddde37cd06bb0b7859418e5
stage2_000019,stage2,stage2v2_008041.jpg,val,stage2_000019.jpg,train,1,red,square,field_mixed,none,249,128,82,83,83,3.482,0.01192,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,88bff77b6534643bdd5ece11caa9a0e26c1700d57f5e3702ba2fb4a08e3367c1,edac24c59ea6ca307ed6a4b916f592661bf3aef7b67a49119827a673c7942585
stage4_000009,stage4,stage4v2_005378.jpg,test,stage4_000009.jpg,train,1,blue,square,field_mixed,none,544,489,67,67,67,-0.276,0.01566,none,none,0,0,shadow,light,light,none,normal,none,size_bucket=small;augmentation=shadow,ea5c4281bfef11d6a75f50cd35579b0592274ef922cbe085d807ecd526534947,d64fb390a57bc514dc9d94c9e1ac612859626b08eb5bc4c4dfd741777c2f685b
stage2_000020,stage2,stage2v2_007336.jpg,train,stage2_000020.jpg,train,1,red,square,grass,none,428,321,174,175,175,-13.089,0.01621,none,none,0,0,none,mild_color,none,none,none,none,size_bucket=large;augmentation=mild_color,a2cd1fdc97e82ee7b4e4fb181384feab1021ae6911fa604d07c968ece682466c,b18bc79fc38a1360d6a1878660c4e1c6edacc8a5dab44626c6427b24875a2a1d
stage1_000005,stage1,stage1_002646.jpg,val,stage1_000005.jpg,val,1,blue,square,plain_white,none,514,159,65,66,66,2.050,0.01077,none,none,0,0,none,normal,none,none,none,none,size_bucket=small,d473923da757864438beda9196164f3255adac93e1ca620bd0227776a062c22a,44ae42d6ddd9c485eed8b6d1811af82b2f6ce93035b4474184c60841480895c2
stage1_000006,stage1,stage1_001586.jpg,train,stage1_000006.jpg,train,1,red,square,plain_white,none,173,348,96,96,96,-3.160,0.00010,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium_large,05f25580257020907fca50127a5fd975583afe8c79710226a97ca919b67bbe64,90604fbd45687bbeee4b822939ab9ee038f9345a47b5e711046dab7ed0cdcd10
stage4_000010,stage4,stage4v2_010671.jpg,train,stage4_000010.jpg,train,1,blue,square,field_mixed,none,352,9,220,221,221,20.520,0.00627,none,none,0,0,sunny,medium,none,none,mild_over,none,size_bucket=medium;augmentation=sunny,82b8931dcf8fe2b65045073397471948611a6c8e9f67989dee2fc4c403ed1b79,e42012b3e80a66f06898a4a8f8c9d461ea643642e4106fc192bdf8dac77ffdb8
stage2_000021,stage2,stage2v2_005418.jpg,train,stage2_000021.jpg,train,1,blue,square,field_mixed,none,342,51,120,125,125,-2.694,0.02422,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,ccd1234e6874a738bdfc11693ce2fdaf7176c46f8da4b5265bb1ff38c4d2edda,dbc472ff55990b76c14fcfeed3611e34999710864fd325d7d204b4d92b574b27
stage3_000011,stage3,stage3v2_006699.jpg,train,stage3_000011.jpg,train,1,red,square,field_mixed,none,345,346,121,123,123,-3.994,0.03101,none,none,0,0.000,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,928b328a8271056115b3faf226e22c795f125ae1ffa08c51860dc3d3b5775ede,c24025954208331df0a7e6fe75d215b5f917d08a50364b99de324387719f48a5
stage2_000022,stage2,stage2v2_000936.jpg,test,stage2_000022.jpg,val,1,red,square,grass,none,242,443,135,136,136,-20.733,0.01693,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,d183afa29cefb8a36bb63e199d7d9f99cd0ae42ee3b54873fb2857351e1010d8,83ca321ea9f52fbb62e29342a978e5d96c875eccf11be5f5d7b46af82b60ad40
stage1_000007,stage1,stage1_001816.jpg,train,stage1_000007.jpg,val,1,blue,square,gray_noise,none,130,344,160,159,160,5.116,0.00894,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium_large,de8d08e519abb4725227b988f3aad9180cfe13e36b71769f8e615a52d358b5d6,d20ac829a8c227a3ba375d42d57dffc6b2d6e4068aa0f18bf1ec32ef00456bc2
stage2_000023,stage2,stage2v2_004264.jpg,val,stage2_000023.jpg,train,1,red,square,field_mixed,none,512,247,30,30,30,-8.361,0.00266,none,none,0,0,none,normal,none,none,none,none,size_bucket=very_small;augmentation=clean,fd1acb5bfaf3d5b347c57519efab440054fa97c90cec192efbdaded3d6664778,8d760f366f95b4ad3b4e5c381c78698634952ee925c48307a86e3da68f3adadf
stage3_000012,stage3,stage3v2_008319.jpg,train,stage3_000012.jpg,test,1,red,square,field_mixed,none,537,31,74,74,74,-16.053,0.00159,motion,medium,5,66.693,none,normal,none,none,none,none,size_bucket=medium;augmentation=medium_motion,8f8655cc60d81474ad0683f8507c3d78b034d22bed9e1fb57b65c63d78cc820b,6fad9b4e167d70a311e455bf225445cfb26f0ca704c09413223e156b1d6147d6
stage1_000008,stage1,stage1_003212.jpg,train,stage1_000008.jpg,train,1,blue,square,plain_white,none,69,238,64,64,64,-5.787,0.00017,none,none,0,0,none,normal,none,none,none,none,size_bucket=very_small,28584178a247f0c968e105d240270e9d5db8bcd90e6eb84a50c136daba1cbe21,fc4d8c9dd786aba50969f2112fe542aec54d4878d1661b8d59f659b79c20f828
stage2_000024,stage2,stage2v2_006330.jpg,train,stage2_000024.jpg,train,1,blue,square,grass,none,196,291,153,151,153,-1.933,0.00620,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=mild_noise,8579d0f2e2b9c648e1415efd6b806be68f0a82d00f4eb4f183ecbee73d9ea97a,62cd239747df264bebd82d25eda7950f32a9544d37aa4a28fc4772f9e5887125
stage2_000025,stage2,stage2v2_015291.jpg,train,stage2_000025.jpg,val,1,blue,square,field_mixed,none,394,441,118,120,120,2.080,0.01328,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,950e58e22a8d6ed11444357655eac065b84a0a3341440f8f2b68116033567dd8,28e644efef9ee68c1b18ae11c938aa51ac8cc2724d3f0241fe24ca3921402eb3
stage2_000026,stage2,stage2v2_003692.jpg,train,stage2_000026.jpg,train,1,blue,square,field_mixed,none,182,464,112,116,116,-6.438,0.01822,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,9ae96a1c97d3294189acf72a03a8f3dc16a2c5b2b04d47776bff1ea7687b4528,bf8769baaa75636b12c930782e76154473ee336ae4329093770d4949ad40e6f4
stage2_000027,stage2,stage2v2_009383.jpg,train,stage2_000027.jpg,train,1,blue,square,field_mixed,none,367,151,99,101,101,4.434,0.01752,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=mild_noise,89e9c70610ae3dc81c97aa5e338eb554eef80a2789e74594ca588ecd285461c9,a5c9f0a23de092ec9e704fd491293086f46985d7034fefbb148f79835f6f82f7
stage3_000013,stage3,stage3v2_008864.jpg,val,stage3_000013.jpg,test,1,red,square,field_mixed,none,239,409,169,163,169,-5.392,0.02680,motion,light,5,150.775,none,normal,none,none,none,none,size_bucket=large;augmentation=light_motion,13d8a3da371a0aca39803a1e2d54948d8affb1a92686ba167794dfb1bdb79b35,09217a465ff4a19869564525226852262140764a64b24331faa92593150bb5b8
stage2_000028,stage2,stage2v2_008549.jpg,train,stage2_000028.jpg,train,1,red,square,field_mixed,none,77,188,117,118,118,-3.255,0.01775,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,d29d1d80402511278b0eb8088323b0e824b84a3e87b551cb31e8ab24c267f615,63bd56ca05c8374a6ce968ccd32be4b9ea784d676d90f4a3acb0aebe57de2903
stage4_000011,stage4,stage4v2_011686.jpg,val,stage4_000011.jpg,train,1,red,square,grass,none,410,445,94,99,99,-16.050,0.02771,motion,light,0,0,blur_light,medium,medium,none,normal,none,size_bucket=medium;augmentation=blur_light,bea20153d55a541f4adb310f7ec512fe4d10daade4a31f54669cfca391e3222c,97c8d48b16f2982fcffa33d00aed08bd84000173575c59b89015e6bc2664b810
stage4_000012,stage4,stage4v2_000099.jpg,train,stage4_000012.jpg,val,1,blue,square,field_mixed,none,327,69,251,255,255,23.809,0.01856,none,none,0,0,normal,normal,none,none,normal,none,size_bucket=large;augmentation=clean,810f90283953267ffe442ca693db43c4a649d4251cefa84a21eb28295fa09db6,1b430acdd8c44d2fde64884e2f784d51959c1ea77c0d8f5f4efe41e1b204e432
stage4_000013,stage4,stage4v2_002216.jpg,train,stage4_000013.jpg,train,1,red,square,field_mixed,none,227,559,39,40,40,-22.404,0.00413,none,none,0,0,sunny,light,none,none,mild_over,none,size_bucket=very_small;augmentation=sunny,fb9223de2599cb5676682209d9afca5ed27b7e404294b24908a7746cdf9cbb84,87ef0e081e750cb429f0288526d9b9a86a91ad51be39743a6ea84f656b54f9ac
stage1_000009,stage1,stage1_001388.jpg,train,stage1_000009.jpg,train,0,none,background,plain_light_gray,none,0,0,0,0,0,0.000,0.00000,none,none,0,0,none,normal,none,none,none,none,size_bucket=none,9dcf907f1f346911adfbdfd4b8e4bf338e1b978e09db1da79a288956ac6f8b13,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage2_000029,stage2,stage2v2_002593.jpg,train,stage2_000029.jpg,train,1,blue,square,grass,none,203,224,160,160,160,-11.069,0.00036,none,none,0,0,none,mild,none,none,none,none,size_bucket=medium;augmentation=mild_light,4aacfcbd7079848a378bc916da7a288b83ef05756990e5cf1b3971f2226432fb,8290e54604c208c43f37a8a77b3694dc2602d65aa1f536550d7fe074baf63339
stage4_000014,stage4,stage4v2_011492.jpg,train,stage4_000014.jpg,train,1,red,square,field_mixed,none,484,385,60,60,60,-8.304,0.00306,none,none,0,0,sunny,light,none,none,mild_over,none,size_bucket=small;augmentation=sunny,5168a890db4e4a6ea77873e8b1dd50df12c72fb92fbcfc8f694b38d94b2319ce,34aa47466d782e4e59d91c1bac8d9ca324def3d3515db340c3ce0b44cc629f7c
stage2_000030,stage2,stage2v2_004984.jpg,train,stage2_000030.jpg,train,1,red,square,soil,none,58,160,94,91,94,-15.739,0.02214,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,f1850da3fcdbb319b1f63f09c81004c30ffaed01e5cd66696ec5eea39faf4cd3,08a6a8663fa344f451f04c57a633cf59bb311f6e7f54308acff51881121aa2a1
stage2_000031,stage2,stage2v2_012911.jpg,train,stage2_000031.jpg,train,0,none,background,field_mixed,none,0,0,0,0,0,0.000,0.00000,none,none,0,0,none,normal,none,none,none,none,size_bucket=none;augmentation=clean,3d5035b920d040d7d32c808d4e4abd74619dfad0bc97f384b8030b9f0430761c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage4_000015,stage4,stage4v2_011136.jpg,train,stage4_000015.jpg,train,0,none,background,field_mixed,none,0,0,0,0,0,0.000,0.00000,none,none,0,0,sunny,medium,none,none,mild_over,light,size_bucket=none;augmentation=sunny,d4645477267eaf8220e23d015fa7bfc6badbd3c4053cf389069df025eefc7b46,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage4_000016,stage4,stage4v2_002101.jpg,train,stage4_000016.jpg,train,1,red,square,soil,none,347,203,113,116,116,23.332,0.03179,motion,light,0,0,blur_light,medium,none,none,mild_over,none,size_bucket=medium;augmentation=blur_light,45e2a06aad460b3afa01306d03798027cf5d44d3c85d1c9f5644bffe3d1c0658,a82eb9899542587edc9a5e96dfd3f7dfe39e1bec0b39e8a88ed1bbaf8f58f6f0
